frame_index,frame_number_1based,integrated_time_s,raw_std
0,1,0.013783,0.474497
1,2,0.027566,0.408521
2,3,0.041350,0.476299
3,4,0.055133,0.461585
4,5,0.068916,0.466800
5,6,0.082699,0.433839
6,7,0.096482,0.428044
7,8,0.110265,0.441015
8,9,0.124049,0.419182
9,10,0.137832,0.407953
10,11,0.151615,0.427894
11,12,0.165398,0.414623
12,13,0.179181,0.449261
13,14,0.192964,0.405869
14,15,0.206748,0.442989
15,16,0.220531,0.441066
16,17,0.234314,0.417222
17,18,0.248097,0.375322
18,19,0.261880,0.393275
19,20,0.275663,0.430403
20,21,0.289447,0.498067
21,22,0.303230,0.492382
22,23,0.317013,0.478339
23,24,0.330796,0.467729
24,25,0.344579,0.452227
25,26,0.358362,0.466492
26,27,0.372146,0.483952
27,28,0.385929,0.457875
28,29,0.399712,0.467356
29,30,0.413495,0.397550
30,31,0.427278,0.445920
31,32,0.441062,0.417219
32,33,0.454845,0.450770
33,34,0.468628,0.469747
34,35,0.482411,0.454712
35,36,0.496194,0.486751
36,37,0.509977,0.481108
37,38,0.523761,0.419319
38,39,0.537544,0.405804
39,40,0.551327,0.507801
40,41,0.565110,0.423881
41,42,0.578893,0.409888
42,43,0.592676,0.445351
43,44,0.606460,0.458776
44,45,0.620243,0.408275
45,46,0.634026,0.493467
46,47,0.647809,0.454589
47,48,0.661592,0.517602
48,49,0.675375,0.367432
49,50,0.689159,0.400644
50,51,0.702942,0.464060
51,52,0.716725,0.558012
52,53,0.730508,0.559362
53,54,0.744291,0.414408
54,55,0.758074,0.486558
55,56,0.771858,0.397074
56,57,0.785641,0.449037
57,58,0.799424,0.432214
58,59,0.813207,0.413515
59,60,0.826990,0.476683
60,61,0.840774,0.431099
61,62,0.854557,0.469964
62,63,0.868340,0.487014
63,64,0.882123,0.480149
64,65,0.895906,0.484332
65,66,0.909689,0.476430
66,67,0.923473,0.454161
67,68,0.937256,0.370584
68,69,0.951039,0.448820
69,70,0.964822,0.517858
